[0422/165614.366:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 1612
[0422/165614.367:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 842
[0422/165614.391:WARNING:angle_platform_impl.cc(52)] compileToBinary(230): 
C:\fakepath(69,8-58): warning X3571: pow(f, e) will not work for negative f, use abs(f) or conditionally handle negative values if you expect them
C:\fakepath(77,9-43): warning X3571: pow(f, e) will not work for negative f, use abs(f) or conditionally handle negative values if you expect them

[0428/110004.135:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110009.150:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110014.162:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110019.175:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110024.183:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110029.195:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110034.212:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110039.221:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110044.235:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110049.250:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110054.263:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110059.277:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110104.283:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110109.300:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110114.312:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110119.324:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110124.336:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110129.350:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110134.361:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110139.372:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110144.384:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110149.400:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110154.412:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110159.422:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110204.434:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110209.451:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110214.462:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110219.471:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110224.490:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110229.500:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110234.512:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110239.521:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110244.536:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110249.551:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110254.560:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
